,CVEGEO,nom_mun_x,PROG1,BEN1,FOTO1,PROG2,BEN2,FOTO2,PROG3,BEN3,FOTO3,PROG4,BEN4,FOTO4,PROG5,BEN5,FOTO5,PROG6,BEN6,FOTO6,PROG7,BEN7,FOTO7,PROG8,BEN8,FOTO8,PROG9,BEN9,FOTO9,PROG10,BEN10,FOTO10,PROG11,BEN11,FOTO11,PROG12,BEN12,FOTO12,PROG13,BEN13,FOTO13,PROG14,BEN14,FOTO14,PROG15,BEN15,FOTO15,mapa,cve_ent,cve_mun,nom_mun_y,latitud,longitud,lat_decimal,lon_decimal,altitud
0,30001,Acajete,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300010001,30,1,Acajete,"19°35´13.108""N","097°00´37.633""W",19.586974,-97.010454,2019
1,30002,Acatlán,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300020001,30,2,Acatlán,"19°41´48.927""N","096°50´31.829""W",19.696924,-96.842175,1739
2,30003,Acayucan,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,1,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,Gestíon y Acompañamiento en materia industrial,9,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,PDIT,22,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,Vinculación industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,1,0,0,0,0,0,0,0,Estudio de contenido nutrimental,1,0,Registro de Marca ante el IMPI,2,0,0,0,0,300030001,30,3,Acayucan,"17°56´55.761""N","094°54´49.935""W",17.948823,-94.913871,101
3,30004,Actopan,0,0,0,0,0,0,Capacitación en materia industrial,1,0,Capacitación en materia industrial,1,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,Vinculación industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,0,0,0,0,0,0,Obtención de Código de Barras,1,0,Estudio de contenido nutrimental,1,0,Registro de Marca ante el IMPI,1,0,Diseño de logotipo e imagen corporativa,1,0,300040001,30,4,Actopan,"19°30´14.584""N","096°37´00.773""W",19.504051,-96.616881,245
4,30005,Acula,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300050001,30,5,Acula,"18°30´21.710""N","095°46´28.502""W",18.506031,-95.774584,15
5,30006,Acultzingo,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300060001,30,6,Acultzingo,"18°43´07.546""N","097°18´10.214""W",18.718763,-97.302837,1659
6,30007,Camarón de Tejeda,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300070001,30,7,Camarón de Tejeda,"19°01´16.229""N","096°36´53.912""W",19.021175,-96.614976,332
7,30008,Alpatláhuac,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300080001,30,8,Alpatláhuac,"19°07´11.823""N","097°05´35.347""W",19.119951,-97.093152,1846
8,30009,Alto Lucero de Gutiérrez Barrios,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,0,0,0,0,0,0,Obtención de Código de Barras,1,0,0,0,0,0,0,0,0,0,0,300090001,30,9,Alto Lucero de Gutiérrez Barrios,"19°37´24.689""N","096°44´01.030""W",19.623525,-96.733619,1111
9,30010,Altotonga,0,0,0,0,0,0,Capacitación en materia industrial,2,0,Capacitación en materia industrial,2,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,Obtención de Código de Barras,1,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300100001,30,10,Altotonga,"19°45´58.136""N","097°14´43.894""W",19.766149,-97.245526,1881
10,30011,Alvarado,0,0,0,Asesorías en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719257839583,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,2,0,Marca de Certificación Hecho en Veracruz,1,0,Obtención de Código de Barras,1,0,Estudio de contenido nutrimental,1,0,Registro de Marca ante el IMPI,3,0,0,0,0,300110001,30,11,Alvarado,"18°46´27.399""N","095°45´50.145""W",18.774278,-95.763929,6
11,30012,Amatitlán,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300120001,30,12,Amatitlán,"18°25´56.438""N","095°43´59.806""W",18.432344,-95.733279,0
12,30013,Naranjos Amatlán,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,PDIT,17,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300130001,30,13,Naranjos Amatlán,"21°20´48.849""N","097°41´10.506""W",21.346903,-97.686252,41
13,30014,Amatlán de los Reyes,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300140001,30,14,Amatlán de los Reyes,"18°50´51.282""N","096°54´55.742""W",18.847578,-96.915484,742
14,30015,Angel R. Cabada,0,0,0,0,0,0,Capacitación en materia industrial,1,0,Capacitación en materia industrial,1,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,1,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,0,0,0,PDIT,20,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,0,0,0,Registro Único de Productores Veracruzanos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300150001,30,15,Angel R. Cabada,"18°35´43.734""N","095°26´33.811""W",18.595482,-95.442725,21
15,30016,La Antigua,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300160001,30,16,La Antigua,"19°22´00.589""N","096°22´17.002""W",19.36683,-96.371389,20
16,30017,Apazapan,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300170001,30,17,Apazapan,"19°19´13.521""N","096°43´07.138""W",19.320423,-96.718649,279
17,30018,Aquila,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300180001,30,18,Aquila,"18°47´44.647""N","097°18´29.244""W",18.795735,-97.308123,1824
18,30019,Astacinga,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300190001,30,19,Astacinga,"18°34´00.588""N","097°06´07.474""W",18.56683,-97.102076,2257
19,30020,Atlahuilco,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300200001,30,20,Atlahuilco,"18°41´50.738""N","097°05´26.468""W",18.697427,-97.090686,1739
20,30021,Atoyac,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Obtención de Código de Barras,1,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300210001,30,21,Atoyac,"18°54´51.439""N","096°46´41.786""W",18.914289,-96.778274,484
21,30022,Atzacan,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300220001,30,22,Atzacan,"18°54´25.084""N","097°05´02.057""W",18.906968,-97.083905,1283
22,30023,Atzalan,Promoción,1,https://www.flickr.com/photos/193071064@N03/albums/72157719263860576,0,0,0,Capacitación en materia industrial,2,0,Capacitación en materia industrial,2,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300230001,30,23,Atzalan,"19°47´20.673""N","097°14´38.914""W",19.789076,-97.244143,1676
23,30024,Tlaltetela,0,0,0,0,0,0,Capacitación en materia industrial,2,0,Capacitación en materia industrial,2,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,Vinculación industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300240001,30,24,Tlaltetela,"19°18´52.775""N","096°54´09.308""W",19.31466,-96.902586,980
24,30025,Ayahualulco,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300250001,30,25,Ayahualulco,"19°21´05.708""N","097°08´55.692""W",19.351586,-97.148803,2052
25,30026,Banderilla,0,0,0,0,0,0,Capacitación en materia industrial,4,0,Capacitación en materia industrial,4,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,2,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,2,0,Marca de Certificación Hecho en Veracruz,2,0,0,0,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300260001,30,26,Banderilla,"19°35´29.784""N","096°56´27.184""W",19.591607,-96.940884,1510
26,30027,Benito Juárez,0,0,0,0,0,0,Capacitación en materia industrial,6,0,Capacitación en materia industrial,6,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300270001,30,27,Benito Juárez,"20°53´11.619""N","098°12´19.601""W",20.886561,-98.205445,258
27,30028,Boca del Río,0,0,0,Asesorías en materia industrial,9,https://www.flickr.com/photos/193071064@N03/albums/72157719257839583,Capacitación en materia industrial,30,0,Capacitación en materia industrial,30,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,31,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,Gestíon y Acompañamiento en materia industrial,22,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,Vinculación industrial,3,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,7,0,Marca de Certificación Hecho en Veracruz,6,0,Obtención de Código de Barras,2,0,0,0,0,Registro de Marca ante el IMPI,5,0,Diseño de logotipo e imagen corporativa,3,0,300280001,30,28,Boca del Río,"19°06´19.580""N","096°06´23.945""W",19.105439,-96.106651,10
28,30029,Calcahualco,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300290001,30,29,Calcahualco,"19°07´20.248""N","097°05´06.950""W",19.122291,-97.085264,1793
29,30030,Camerino Z. Mendoza,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,Vinculación industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300300001,30,30,Camerino Z. Mendoza,"18°48´15.267""N","097°11´04.982""W",18.804241,-97.184717,1339
30,30031,Carrillo Puerto,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300310001,30,31,Carrillo Puerto,"18°47´59.609""N","096°34´15.815""W",18.799891,-96.57106,190
31,30032,Catemaco,0,0,0,0,0,0,Capacitación en materia industrial,1,0,Capacitación en materia industrial,1,0,Plataforma Digital,,0,0,0,0,0,0,0,PDIT,3,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300320001,30,32,Catemaco,"18°25´28.613""N","095°06´44.421""W",18.424615,-95.112339,363
32,30033,Cazones de Herrera,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300330001,30,33,Cazones de Herrera,"20°42´11.826""N","097°18´44.354""W",20.703285,-97.312321,18
33,30034,Cerro Azul,0,0,0,Asesorías en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719257839583,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Obtención de Código de Barras,1,0,0,0,0,0,0,0,0,0,0,300340001,30,34,Cerro Azul,"21°11´29.280""N","097°44´32.347""W",21.191467,-97.742319,144
34,30035,Citlaltépetl,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300350001,30,35,Citlaltépetl,"21°19´42.485""N","097°52´45.390""W",21.328468,-97.879275,221
35,30036,Coacoatzintla,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,3,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,0,0,0,0,0,0,Obtención de Código de Barras,1,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300360001,30,36,Coacoatzintla,"19°39´11.182""N","096°56´42.507""W",19.653106,-96.945141,1415
36,30037,Coahuitlán,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,PDIT,17,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300370001,30,37,Coahuitlán,"20°16´30.222""N","097°42´53.549""W",20.275062,-97.714875,181
37,30038,Coatepec,Promoción,2,https://www.flickr.com/photos/193071064@N03/albums/72157719263860576,0,0,0,Capacitación en materia industrial,30,0,Capacitación en materia industrial,30,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,15,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,Gestíon y Acompañamiento en materia industrial,13,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,Vinculación industrial,6,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,20,0,Marca de Certificación Hecho en Veracruz,17,0,Obtención de Código de Barras,6,0,Estudio de contenido nutrimental,1,0,Registro de Marca ante el IMPI,16,0,Diseño de logotipo e imagen corporativa,5,0,300380001,30,38,Coatepec,"19°27´16.778""N","096°57´36.987""W",19.454661,-96.960274,1200
38,30039,Coatzacoalcos,0,0,0,Asesorías en materia industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719257839583,Capacitación en materia industrial,32,0,Capacitación en materia industrial,32,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,55,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,Gestíon y Acompañamiento en materia industrial,9,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,PDIT,36,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,Vinculación industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,2,0,Marca de Certificación Hecho en Veracruz,2,0,0,0,0,0,0,0,Registro de Marca ante el IMPI,1,0,Diseño de logotipo e imagen corporativa,1,0,300390001,30,39,Coatzacoalcos,"18°08´16.378""N","094°27´10.805""W",18.137883,-94.453001,19
39,30040,Coatzintla,0,0,0,0,0,0,Capacitación en materia industrial,1,0,Capacitación en materia industrial,1,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300400001,30,40,Coatzintla,"20°28´56.508""N","097°27´38.815""W",20.482363,-97.460782,113
40,30041,Coetzala,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300410001,30,41,Coetzala,"18°47´08.291""N","096°55´00.092""W",18.785636,-96.916692,640
41,30042,Colipa,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300420001,30,42,Colipa,"19°55´26.399""N","096°43´36.228""W",19.924,-96.72673,192
42,30043,Comapa,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300430001,30,43,Comapa,"19°09´52.664""N","096°53´10.433""W",19.164629,-96.886231,1060
43,30044,Córdoba,0,0,0,0,0,0,Capacitación en materia industrial,86,0,Capacitación en materia industrial,86,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,10,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,Vinculación industrial,3,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,13,0,Marca de Certificación Hecho en Veracruz,12,0,Obtención de Código de Barras,1,0,Estudio de contenido nutrimental,2,0,Registro de Marca ante el IMPI,4,0,Diseño de logotipo e imagen corporativa,2,0,300440001,30,44,Córdoba,"18°53´39.782""N","096°56´07.257""W",18.894384,-96.935349,861
44,30045,Cosamaloapan de Carpio,0,0,0,0,0,0,0,1,0,0,1,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300450001,30,45,Cosamaloapan de Carpio,"18°21´53.186""N","095°47´46.891""W",18.364774,-95.796359,15
45,30046,Cosautlán de Carvajal,0,0,0,0,0,0,Capacitación en materia industrial,2,0,Capacitación en materia industrial,2,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,Vinculación industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300460001,30,46,Cosautlán de Carvajal,"19°19´57.517""N","096°59´28.912""W",19.332644,-96.991364,1262
46,30047,Coscomatepec,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,6,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300470001,30,47,Coscomatepec,"19°04´22.434""N","097°02´47.114""W",19.072898,-97.046421,1530
